"","plot","tag","spp","date","year","jday","dend","refdend","refdbh","refcheck","dend.num","dend.meas","DBH"
"59","D5",652,"rm","2000-04-03",2000,94,30.26,NA,NA,TRUE,1,30.26,30.8
"60","D5",669,"rm","2000-04-03",2000,94,12.03,NA,NA,TRUE,1,12.03,11.05
"61","D5",671,"rm","2000-04-03",2000,94,20.34,NA,NA,TRUE,1,20.34,22.38
"62","E1",676,"ro","2000-04-03",2000,94,15.15,NA,NA,TRUE,1,15.15,46.5
"63","E1",683,"rm","2000-04-03",2000,94,22.07,NA,NA,TRUE,2,22.07,37.34
"64","E1",684,"yb","2000-04-03",2000,94,32.72,NA,NA,TRUE,1,22.72,NA
"65","E2",718,"rp","2000-04-03",2000,94,18.08,NA,NA,TRUE,1,18.08,31.49
"66","E2",719,"rm","2000-04-03",2000,94,22.49,NA,NA,TRUE,1,22.49,19.51
"67","E2",721,"cherry","2000-04-03",2000,94,17.88,NA,NA,TRUE,1,17.88,16
"68","E2",723,"rp","2000-04-03",2000,94,21.61,NA,NA,TRUE,1,21.61,17.68
"69","E2",729,"rp","2000-04-03",2000,94,14.6,NA,NA,TRUE,1,14.6,38.31
"70","E2",731,"rp","2000-04-03",2000,94,12.29,NA,NA,TRUE,1,12.29,26.19
"71","E2",735,"rm","2000-04-03",2000,94,9.35,NA,NA,TRUE,1,9.35,11.02
"72","E3",753,"ro","2000-04-03",2000,94,23.57,NA,NA,TRUE,1,23.57,44.36
"73","E4",801,"wp","2000-04-03",2000,94,14.69,NA,NA,TRUE,1,14.69,23.69
"74","E4",811,"rm","2000-04-03",2000,94,39.93,NA,NA,TRUE,1,39.93,16.1
"75","E4",817,"rm","2000-04-03",2000,94,9.88,NA,NA,TRUE,1,9.88,12.25
"76","E4",830,"ro","2000-04-03",2000,94,30.49,NA,NA,TRUE,1,30.49,29.55
"77","E5",876,"hem","2000-04-03",2000,94,20.74,NA,NA,TRUE,1,20.74,31.08
"78","E5",889,"hem","2000-04-03",2000,94,22.7,NA,NA,TRUE,1,22.7,25.02
"79","F1",927,"rp","2000-04-03",2000,94,5.5,NA,NA,TRUE,1,5.5,13.7
"80","F1",929,"rp","2000-04-03",2000,94,24.02,NA,NA,TRUE,1,24.02,35.68
"81","F1",933,"rm","2000-04-03",2000,94,27.92,NA,NA,TRUE,1,27.92,17.93
"82","F1",937,"rm","2000-04-03",2000,94,33.86,NA,NA,TRUE,1,33.86,29.92
"83","F1",938,"rm","2000-04-03",2000,94,40.31,NA,NA,TRUE,2,40.31,25.8
"84","F1",940,"rp","2000-04-03",2000,94,8.07,NA,NA,TRUE,1,8.07,14.6
"85","F1",944,"ro","2000-04-03",2000,94,8.61,NA,NA,TRUE,1,8.61,12.51
"86","F1",953,"rp","2000-04-03",2000,94,27.18,NA,NA,TRUE,1,27.18,30.5
"87","F1",955,"rp","2000-04-03",2000,94,10.55,NA,NA,TRUE,1,10.55,14.32
"88","F2",982,"rm","2000-04-03",2000,94,39.01,NA,NA,TRUE,1,39.01,22.17
"89","F2",985,"yb","2000-04-03",2000,94,9.16,NA,NA,TRUE,1,9.16,17.74
"90","F3",1,"rm","2000-04-03",2000,94,18,NA,NA,TRUE,1,18,15.29
"91","F3",2,"hem","2000-04-03",2000,94,30.6,NA,NA,TRUE,1,30.6,17.78
"92","F3",6,"rm","2000-04-03",2000,94,21.25,NA,NA,TRUE,1,21.25,19.61
"93","F3",9,"rm","2000-04-03",2000,94,28.98,NA,NA,TRUE,1,28.98,25.57
"94","F3",11,"wp","2000-04-03",2000,94,33.2,NA,NA,TRUE,1,33.2,22.29
"95","F4",35,"ro","2000-04-03",2000,94,28.88,NA,NA,TRUE,1,28.88,31.92
"96","F4",67,"ws","2000-04-03",2000,94,15.38,NA,NA,TRUE,1,15.38,15
"97","F4",73,"wp","2000-04-03",2000,94,43.77,NA,NA,TRUE,1,43.77,66.22
"98","F5",83,"rm","2000-04-03",2000,94,11.82,NA,NA,TRUE,1,11.82,10.3
"99","F5",85,"wb","2000-04-03",2000,94,20.99,NA,NA,TRUE,1,20.99,26.49
"100","F5",98,"hem","2000-04-03",2000,94,33.7,NA,NA,TRUE,1,33.7,20.3
"101","F5",104,"rm","2000-04-03",2000,94,20.04,NA,NA,TRUE,1,20.04,19.18
"102","F5",121,"ro","2000-04-03",2000,94,23.36,NA,NA,TRUE,1,23.36,24.01
"103","G1",161,"rp","2000-04-03",2000,94,32.61,NA,NA,TRUE,1,32.61,32.54
"104","G1",167,"rp","2000-04-03",2000,94,31.53,NA,NA,TRUE,1,31.53,33.62
"105","G1",172,"rp","2000-04-03",2000,94,25.17,NA,NA,TRUE,1,25.17,22.09
"106","G1",174,"rp","2000-04-03",2000,94,25.48,NA,NA,TRUE,1,25.48,45.08
"107","G2",204,"hem","2000-04-03",2000,94,28.8,NA,NA,TRUE,1,28.8,41.49
"108","G2",216,"hem","2000-04-03",2000,94,24.16,NA,NA,TRUE,1,24.16,18.78
"109","G4",258,"bb","2000-04-03",2000,94,17.51,NA,NA,TRUE,1,17.51,20.79
"110","G4",259,"hem","2000-04-03",2000,94,53.56,NA,NA,TRUE,1,53.56,25.13
"111","G4",260,"rm","2000-04-03",2000,94,10.14,NA,NA,TRUE,1,10.14,13.42
"112","G4",263,"rm","2000-04-03",2000,94,19.81,NA,NA,TRUE,1,19.81,21.55
"113","G5",265,"hem","2000-04-03",2000,94,82.73,NA,NA,TRUE,1,82.73,15.6
"114","G5",266,"rm","2000-04-03",2000,94,10.07,NA,NA,TRUE,1,10.07,14.34
"115","G5",268,"ro","2000-04-03",2000,94,25.25,NA,NA,TRUE,1,25.25,37.32
"116","G5",270,"rm","2000-04-03",2000,94,21.9,NA,NA,TRUE,1,21.9,17.49
"117","G5",271,"bb","2000-04-03",2000,94,30.6,NA,NA,TRUE,1,30.6,27.13
"118","G5",273,"hem","2000-04-03",2000,94,37.32,NA,NA,TRUE,1,37.32,18.47
"119","G5",278,"hem","2000-04-03",2000,94,10.97,NA,NA,TRUE,1,10.97,14.17
"120","G5",289,"hem","2000-04-03",2000,94,22.12,NA,NA,TRUE,1,22.12,18.68
"121","G5",290,"hem","2000-04-03",2000,94,17.05,NA,NA,TRUE,1,17.05,11.49
"122","H1",312,"rm","2000-04-03",2000,94,25.22,NA,NA,TRUE,1,25.22,12.6
"123","H1",316,"wp","2000-04-03",2000,94,19.53,NA,NA,TRUE,1,19.53,16.07
"124","H1",318,"rm","2000-04-03",2000,94,27,NA,NA,TRUE,1,27,20.69
"125","H1",322,"rm","2000-04-03",2000,94,23.69,NA,NA,TRUE,1,23.69,15.77
"126","H1",326,"rm","2000-04-03",2000,94,15.35,NA,NA,TRUE,1,15.35,14.5
"127","H2",328,"rm","2000-04-03",2000,94,13.93,NA,NA,TRUE,1,13.93,13.8
"128","H2",329,"rm","2000-04-03",2000,94,20.82,NA,NA,TRUE,1,20.82,18.95
"129","H2",330,"hem","2000-04-03",2000,94,17.54,NA,NA,TRUE,1,17.54,23.24
"130","H2",332,"beech","2000-04-03",2000,94,24.1,NA,NA,TRUE,1,24.1,23.6
"131","H2",334,"hem","2000-04-03",2000,94,30.34,NA,NA,TRUE,1,30.34,34.92
"132","H2",338,"hem","2000-04-03",2000,94,27.56,NA,NA,TRUE,1,27.56,33.22
"133","H2",339,"hem","2000-04-03",2000,94,12.94,NA,NA,TRUE,1,12.94,14.58
"134","H2",340,"hem","2000-04-03",2000,94,32.29,NA,NA,TRUE,1,32.29,12.82
"135","H2",341,"hem","2000-04-03",2000,94,19.23,NA,NA,TRUE,1,19.23,18.9
"136","H2",350,"rm","2000-04-03",2000,94,5.52,NA,NA,TRUE,1,5.52,11.5
"137","H2",355,"hem","2000-04-03",2000,94,27.77,NA,NA,TRUE,1,27.77,18.62
"138","H2",356,"rm","2000-04-03",2000,94,4.66,NA,NA,TRUE,1,4.66,14.3
"139","H5",391,"hem","2000-04-03",2000,94,3.8,NA,NA,TRUE,1,3.8,11.5
"140","H5",393,"yb","2000-04-03",2000,94,2.41,NA,NA,TRUE,1,2.41,14.7
"141","H5",395,"wp","2000-04-03",2000,94,21.05,NA,NA,TRUE,1,21.05,17.76
"142","H5",400,"hem","2000-04-03",2000,94,13.46,NA,NA,TRUE,1,13.46,11.89
"143","G4",251,"rm","2000-10-04",2000,278,7.3,7.32,14.7,FALSE,1,7.3,NA
"144","G4",252,"rm","2000-10-04",2000,278,7.46,19.65,15.5,FALSE,1,7.46,NA
"145","G4",253,"yb","2000-10-04",2000,278,22.16,22.16,14.4,FALSE,1,22.16,NA
"146","G4",254,"yb","2000-10-04",2000,278,28.66,28.66,18.2,FALSE,1,28.66,NA
"147","G4",255,"rm","2000-10-04",2000,278,15.95,15.95,17.7,FALSE,1,15.95,NA
"148","G4",256,"bb","2000-10-04",2000,278,37.78,37.78,17.5,FALSE,1,37.78,NA
"149","G4",257,"ro","2000-10-04",2000,278,36.6,36.6,33.1,FALSE,1,36.6,NA
"150","G4",258,"bb","2000-10-04",2000,278,19.72,19.72,20,FALSE,1,19.72,NA
"151","G4",259,"hem","2000-10-04",2000,278,69.22,69.22,24.6,FALSE,1,69.22,NA
"152","G4",260,"rm","2000-10-04",2000,278,9.52,9.52,13.5,FALSE,1,9.52,NA
"153","G4",261,"rm","2000-10-04",2000,278,11.84,11.84,22.3,FALSE,1,11.84,NA
"154","G4",262,"yb","2000-10-04",2000,278,23.83,23.83,36.8,FALSE,1,23.83,NA
"155","G4",263,"rm","2000-10-04",2000,278,23.59,23.59,21.1,FALSE,1,23.59,NA
"156","G4",264,"rm","2000-10-04",2000,278,74.52,74.52,17.3,FALSE,1,74.52,NA
"157","E3",752,"ro","2001-07-19",2001,200,64.5,NA,NA,FALSE,1,54.5,NA
"158","G5",288,"rm","2001-07-19",2001,200,22.86,NA,NA,FALSE,1,11.86,NA
"159","A1",1,"yb","2001-07-30",2001,211,57.26,NA,NA,FALSE,1,57.26,14.5
"160","A1",2,"rm","2001-07-30",2001,211,22.28,NA,NA,FALSE,1,22.28,32.7
"161","A1",6,"rm","2001-07-30",2001,211,59.73,NA,NA,FALSE,2,59.73,32.4
"162","A1",8,"yb","2001-07-30",2001,211,39,NA,NA,FALSE,1,39,24
"163","A1",9,"yb","2001-07-30",2001,211,23.19,NA,NA,FALSE,1,23.19,15.9
"164","A1",10,"yb","2001-07-30",2001,211,31.32,NA,NA,FALSE,1,31.32,13
"165","A1",11,"rm","2001-07-30",2001,211,41.96,NA,NA,FALSE,1,41.96,19.05
"166","A1",12,"rm","2001-07-30",2001,211,6.81,NA,NA,FALSE,1,6.81,16.3
"167","A1",14,"ro","2001-07-30",2001,211,52.08,NA,NA,FALSE,1,52.08,57.1
"168","A1",15,"rm","2001-07-30",2001,211,12.79,NA,NA,FALSE,1,12.79,22.2
"169","A1",17,"rm","2001-07-30",2001,211,19.51,NA,NA,FALSE,1,19.51,18.85
"170","A1",18,"rm","2001-07-30",2001,211,33.36,NA,NA,FALSE,1,33.36,26.55
"171","A1",19,"ro","2001-07-30",2001,211,59.2,NA,NA,FALSE,1,59.2,48.5
"172","A2",25,"rm","2001-07-30",2001,211,20,NA,NA,FALSE,1,20,14.3
"173","A2",26,"bo","2001-07-30",2001,211,42.97,NA,NA,FALSE,1,42.97,40.55
"174","A2",27,"rm","2001-07-30",2001,211,21.09,NA,NA,FALSE,1,21.09,11
"175","A2",29,"rm","2001-07-30",2001,211,32.55,NA,NA,FALSE,1,32.55,15.9
"176","A2",30,"rm","2001-07-30",2001,211,30.72,NA,NA,FALSE,1,30.72,22.9
"177","A2",31,"bo","2001-07-30",2001,211,41.71,NA,NA,FALSE,1,41.71,40
"178","A2",32,"ro","2001-07-30",2001,211,34.82,NA,NA,FALSE,1,34.82,41.85
"179","A2",33,"bo","2001-07-30",2001,211,29.36,NA,NA,FALSE,1,29.36,31.4
"180","A2",34,"ro","2001-07-30",2001,211,41.12,NA,NA,FALSE,1,41.12,40.7
"181","A2",35,"rm","2001-07-30",2001,211,20.79,NA,NA,FALSE,1,20.79,22.1
"182","A3",51,"ro","2001-07-30",2001,211,47.53,NA,NA,FALSE,1,47.53,22
"183","A3",52,"beech","2001-07-30",2001,211,24.9,NA,NA,FALSE,1,24.9,13.6
"184","A3",53,"rm","2001-07-30",2001,211,15.39,NA,NA,FALSE,1,15.39,11.55
"185","A3",54,"ro","2001-07-30",2001,211,46.92,NA,NA,FALSE,1,46.92,34.4
"186","A3",55,"rm","2001-07-30",2001,211,27.95,NA,NA,FALSE,1,27.95,16.6
"187","A3",56,"rm","2001-07-30",2001,211,17.88,NA,NA,FALSE,1,17.88,11.75
"188","A3",57,"ro","2001-07-30",2001,211,46.09,NA,NA,FALSE,1,46.09,56.15
"189","A3",58,"ro","2001-07-30",2001,211,45.25,NA,NA,FALSE,1,45.25,39.6
"190","A3",60,"rm","2001-07-30",2001,211,28.53,NA,NA,FALSE,1,28.53,20.95
"191","A3",61,"ro","2001-07-30",2001,211,44.97,NA,NA,FALSE,1,44.97,46.35
"192","A3",62,"bo","2001-07-30",2001,211,16.74,NA,NA,FALSE,1,16.74,28
"193","A3",64,"yb","2001-07-30",2001,211,14.84,NA,NA,FALSE,2,14.84,13.9
"194","A3",65,"yb","2001-07-30",2001,211,9.13,NA,NA,FALSE,1,9.13,14.85
"195","A3",66,"rm","2001-07-30",2001,211,42.54,NA,NA,FALSE,1,42.54,25.2
"196","A3",67,"rm","2001-07-30",2001,211,15.94,NA,NA,FALSE,1,15.94,12.2
"197","A3",69,"rm","2001-07-30",2001,211,11.17,NA,NA,FALSE,1,11.17,13.3
"198","A3",70,"ro","2001-07-30",2001,211,37.12,NA,NA,FALSE,1,37.12,42.5
"199","B1",152,"rm","2001-07-30",2001,211,43.27,NA,NA,FALSE,1,43.27,15.75
"200","B1",153,"ro","2001-07-30",2001,211,62.45,NA,NA,FALSE,1,62.45,49.2
"201","B1",154,"rm","2001-07-30",2001,211,33.36,NA,NA,FALSE,1,33.36,26.55
"202","B1",155,"ro","2001-07-30",2001,211,59.2,NA,NA,FALSE,1,59.2,48.55
"203","B1",156,"rm","2001-07-30",2001,211,61.76,NA,NA,FALSE,1,61.76,34.9
"204","B1",157,"rm","2001-07-30",2001,211,22.96,NA,NA,FALSE,1,22.96,19.15
"205","B1",158,"rm","2001-07-30",2001,211,5.28,NA,NA,FALSE,1,5.28,14.8
"206","B1",159,"rm","2001-07-30",2001,211,34.84,NA,NA,FALSE,1,34.84,28.8
"207","B1",160,"rm","2001-07-30",2001,211,15.43,NA,NA,FALSE,1,15.43,35.1
"208","B1",161,"rm","2001-07-30",2001,211,17.95,NA,NA,FALSE,1,17.95,18.8
"209","B1",162,"rm","2001-07-30",2001,211,33.88,NA,NA,FALSE,1,33.88,32.2
"210","B1",163,"rm","2001-07-30",2001,211,6.47,NA,NA,FALSE,1,6.47,12.9
"211","B1",164,"wp","2001-07-30",2001,211,34.5,NA,NA,FALSE,1,34.5,18.7
"212","B1",165,"ro","2001-07-30",2001,211,35.72,NA,NA,FALSE,1,35.72,42.9
"213","B2",179,"ro","2001-07-30",2001,211,57.37,NA,NA,FALSE,1,57.37,62.9
"214","B2",180,"rm","2001-07-30",2001,211,13.29,NA,NA,FALSE,1,13.29,24.3
"215","B2",182,"yb","2001-07-30",2001,211,29.34,NA,NA,FALSE,1,29.34,30.4
"216","B2",184,"rm","2001-07-30",2001,211,13.58,NA,NA,FALSE,1,13.58,9.65
"217","B2",185,"rm","2001-07-30",2001,211,15.45,NA,NA,FALSE,1,15.45,13.9
"218","B2",187,"rm","2001-07-30",2001,211,50.47,NA,NA,FALSE,1,50.47,29.3
"219","B2",189,"cherry","2001-07-30",2001,211,10.32,NA,NA,FALSE,1,10.32,35.85
"220","B2",192,"bb","2001-07-30",2001,211,22.44,NA,NA,FALSE,1,22.44,12.2
"221","B2",193,"yb","2001-07-30",2001,211,32.23,NA,NA,FALSE,2,32.23,15.7
"222","B2",194,"rm","2001-07-30",2001,211,42.53,NA,NA,FALSE,1,42.53,20.85
"223","B3",201,"ro","2001-07-30",2001,211,52.68,NA,NA,FALSE,1,52.68,35.1
"224","B3",202,"ro","2001-07-30",2001,211,17.06,NA,NA,FALSE,1,17.06,20.8
"225","B3",203,"ash","2001-07-30",2001,211,14.94,NA,NA,FALSE,1,14.94,15.4
"226","B3",204,"rm","2001-07-30",2001,211,16.57,NA,NA,FALSE,1,16.57,27.55
"227","B3",208,"rm","2001-07-30",2001,211,25.96,NA,NA,FALSE,1,25.96,20
"228","B3",209,"ro","2001-07-30",2001,211,33.65,NA,NA,FALSE,1,33.65,21.7
"229","B3",210,"ro","2001-07-30",2001,211,52.81,NA,NA,FALSE,1,52.81,31.7
"230","B3",211,"rm","2001-07-30",2001,211,21.11,NA,NA,FALSE,1,21.11,16.9
"231","B3",212,"rm","2001-07-30",2001,211,13.39,NA,NA,FALSE,1,13.39,13
"232","B3",213,"rm","2001-07-30",2001,211,16.11,NA,NA,FALSE,1,16.11,13.8
"233","B3",214,"yb","2001-07-30",2001,211,24.51,NA,NA,FALSE,1,24.51,15.4
"234","B3",215,"rm","2001-07-30",2001,211,71.28,NA,NA,FALSE,1,71.28,18.2
"235","B3",216,"rm","2001-07-30",2001,211,11.72,NA,NA,FALSE,1,11.72,16.5
"236","B3",218,"rm","2001-07-30",2001,211,24.08,NA,NA,FALSE,1,24.08,12.6
"237","B3",219,"rm","2001-07-30",2001,211,14.19,NA,NA,FALSE,1,14.19,15.8
"238","B3",221,"rm","2001-07-30",2001,211,15.42,NA,NA,FALSE,1,15.42,24.1
"239","B3",225,"rm","2001-07-30",2001,211,7.89,NA,NA,FALSE,1,7.89,21.4
"240","B3",226,"ro","2001-07-30",2001,211,29.32,NA,NA,FALSE,1,29.32,22.5
"241","B3",227,"rm","2001-07-30",2001,211,9.48,NA,NA,FALSE,1,9.48,21.6
"242","B3",228,"bo","2001-07-30",2001,211,70.75,NA,NA,FALSE,1,70.75,45
"243","B3",229,"rm","2001-07-30",2001,211,10.55,NA,NA,FALSE,1,10.55,15.5
"244","B3",231,"ro","2001-07-30",2001,211,26.95,NA,NA,FALSE,1,26.95,21.8
"245","B3",232,"ro","2001-07-30",2001,211,38.06,NA,NA,FALSE,1,38.06,34.3
"246","B4",251,"bo","2001-07-30",2001,211,26.1,NA,NA,FALSE,1,26.1,18.8
"247","B4",253,"rm","2001-07-30",2001,211,15.17,NA,NA,FALSE,1,15.17,12.4
"248","B4",254,"rm","2001-07-30",2001,211,12.01,NA,NA,FALSE,1,12.01,13
"249","B4",255,"rm","2001-07-30",2001,211,40.49,NA,NA,FALSE,1,40.49,19.3
"250","B4",256,"rm","2001-07-30",2001,211,17.22,NA,NA,FALSE,1,17.22,14.5
"251","B4",257,"rm","2001-07-30",2001,211,9.62,NA,NA,FALSE,1,9.62,12.2
"252","B4",258,"rm","2001-07-30",2001,211,10.88,NA,NA,FALSE,1,10.88,11.55
"253","B4",259,"rm","2001-07-30",2001,211,45.43,NA,NA,FALSE,1,45.43,12.8
"254","B4",260,"rm","2001-07-30",2001,211,10.02,NA,NA,FALSE,1,10.02,11.1
"255","B4",261,"rm","2001-07-30",2001,211,21.43,NA,NA,FALSE,1,21.43,15.5
"256","B4",262,"ro","2001-07-30",2001,211,51.05,NA,NA,FALSE,1,51.05,23.9
"257","B4",263,"gb","2001-07-30",2001,211,29.65,NA,NA,FALSE,1,29.65,16.7
"258","B4",264,"rm","2001-07-30",2001,211,16.27,NA,NA,FALSE,1,16.27,11.2
"259","B4",265,"gb","2001-07-30",2001,211,28.86,NA,NA,FALSE,1,28.86,22.1
"260","B4",266,"gb","2001-07-30",2001,211,23.35,NA,NA,FALSE,1,23.35,20
"261","B4",267,"gb","2001-07-30",2001,211,18.65,NA,NA,FALSE,1,18.65,20
"262","B4",268,"gb","2001-07-30",2001,211,31.37,NA,NA,FALSE,1,31.37,22.15
"263","B4",269,"gb","2001-07-30",2001,211,32.2,NA,NA,FALSE,1,32.2,27.9
"264","B4",270,"rm","2001-07-30",2001,211,13.05,NA,NA,FALSE,1,13.05,12.7
"265","B4",271,"rm","2001-07-30",2001,211,15.25,NA,NA,FALSE,1,15.25,10.8
"266","B4",272,"rm","2001-07-30",2001,211,30.56,NA,NA,FALSE,1,30.56,21.5
"267","B4",273,"rm","2001-07-30",2001,211,25.4,NA,NA,FALSE,1,25.4,14.1
"268","B4",274,"gb","2001-07-30",2001,211,17.98,NA,NA,FALSE,1,17.98,24.25
"269","B4",275,"ro","2001-07-30",2001,211,8.86,NA,NA,FALSE,1,8.86,10.2
"270","B4",276,"rm","2001-07-30",2001,211,11.12,NA,NA,FALSE,1,11.12,11.2
"271","B4",277,"ro","2001-07-30",2001,211,48.36,NA,NA,FALSE,1,48.36,23.6
"272","B4",278,"rm","2001-07-30",2001,211,14.63,NA,NA,FALSE,1,14.63,14.9
"273","B4",279,"rm","2001-07-30",2001,211,15.99,NA,NA,FALSE,1,15.99,12.9
"274","B4",280,"ro","2001-07-30",2001,211,31.49,NA,NA,FALSE,1,31.49,22.8
"275","C1",351,"hem","2001-07-30",2001,211,49.25,NA,NA,FALSE,1,49.25,21.2
"276","C1",352,"ro","2001-07-30",2001,211,25.87,NA,NA,FALSE,1,25.87,44
"277","C1",353,"ro","2001-07-30",2001,211,31.5,NA,NA,FALSE,1,31.5,39.3
"278","C1",354,"rm","2001-07-30",2001,211,35.37,NA,NA,FALSE,1,35.37,24.3
"279","C1",355,"yb","2001-07-30",2001,211,30.55,NA,NA,FALSE,1,30.55,12.2
"280","C1",356,"ro","2001-07-30",2001,211,49.95,NA,NA,FALSE,1,49.95,35.7
"281","C1",359,"wp","2001-07-30",2001,211,12.13,NA,NA,FALSE,1,12.13,14.1
"282","C1",360,"yb","2001-07-30",2001,211,33.04,NA,NA,FALSE,1,33.04,16.7
"283","C1",361,"ro","2001-07-30",2001,211,62.42,NA,NA,FALSE,1,62.42,57.8
"284","C1",362,"ro","2001-07-30",2001,211,31.98,NA,NA,FALSE,1,31.98,40.65
